,roles,companies,locations,salary
0,Nhân Viên Tư Vấn - Sản Phẩm Tiềm Năng - Telesale / Sale Bất Động Sản/ Chuyên Viên Bất Động Sản/ Chăm Sóc Khách Hàng- Khu Vực Bình Thạnh Hồ Chí Minh - Có Đào Tạo Từ Đầu - Mức Lương Từ 30Tr-50Tr,Công ty CP Đầu tư và Dịch vụ Đất Xanh Miền Nam,Hồ Chí Minh,30 - 50 triệu
1,Nhân Viên Kinh Doanh Ban Phát Triển - Chi Nhánh Hà Nội,CÔNG TY TNHH YAKULT VN,Hà Nội,10 - 14 triệu
2,"TOP
Giáo Viên Toán",TỔ CHỨC GIÁO DỤC FPT,Thanh Hoá,Thoả thuận
3,"Nhân Viên Kinh Doanh/ Bán Hàng Kỹ Thuật/ Sale Engineer ( Lương Cứng Từ 10 Triệu, Thu Nhập Upto 35 Triệu )",CÔNG TY TNHH TÂN PHÚ HIẾU,Hà Nội,10 - 35 triệu
4,Nhân Viên Tư Vấn/ Chăm Sóc Khách Hàng/ Customer Service - App Du Lịch (Tiếng Anh/English) - HCM,Công ty TNHH Concentrix Service Vietnam,Hồ Chí Minh,10 - 12 triệu
5,"Nhân Viên Kinh Doanh - Tư Vấn Bán Hàng Dịch Vụ Quản Lý Khách Hàng Cao Cấp (Đi Làm Ngay, Lương Kinh Doanh Đến 18 Triệu + Thưởng, Thu Nhập Upto 30 Triệu)",CÔNG TY TNHH BẢO HIỂM NHÂN THỌ SUN LIFE VIỆT NAM,Hà Nội,Tới 30 triệu
6,Nhân Viên Kinh Doanh/ Sale Thị Trường GT Hà Nội - Thu Nhập 9-15 Triệu (Không Cần Kinh Nghiệm),Công Ty TNHH Phân Phối Tiên Tiến,Hà Nội,9 - 15 triệu
7,Quản Trị Viên Tập Sự - Management Trainee (Thực Tập Sinh - Nhiều Lĩnh Vực),Công Ty TNHH Sản Xuất Hàng May Mặc Việt Nam,"Vĩnh Phúc, Hà Nội",Thoả thuận
8,COO (Giám Đốc Vận Hành) - Đi Làm Ngay - Thu Nhập Từ 30 - 45 Triệu/ Tháng,CÔNG TY TNHH CƠ KHÍ ÔTÔ AN THÁI,Thái Bình,30 - 45 triệu
9,Nhân Viên Kinh Doanh/ Tư Vấn/ Sales - Lương Cứng 8 Triệu + Hoa Hồng Không Giới Hạn,CÔNG TY CỔ PHẦN FISAFE,Hà Nội,8 - 20 triệu
10,"Nhân Viên VJ - Sáng Tạo Nội Dung, 1 Năm Kinh Nghiệm Tại Hoàng Mai - Hà Nội",CÔNG TY CỔ PHẦN CÔNG NGHỆ NĂNG LƯỢNG VTECH,Hà Nội,12 - 15 triệu
11,Nhân Viên Phát Triển Thị Trường - Kinh Doanh,CÔNG TY TNHH CÔNG NGHỆ EMPOWER SC,Hồ Chí Minh,7 - 30 triệu
12,Nhân Viên Kinh Doanh/ Sales Xuất Nhập Khẩu - Chỉ Tuyển Nữ Thu Nhập Upto 30 Triệu,CÔNG TY TNHH XUẤT NHẬP KHẨU MI THIÊN THẦN,Hà Nội,12 - 30 triệu
13,Phó Phòng Dự Toán,CÔNG TY CỔ PHẦN NỘI THẤT NEM,Hồ Chí Minh,Thoả thuận
14,Technical Leader - Từ 5 Năm Kinh Nghiệm,Beetechsoft,Hà Nội,25 - 60 triệu
15,Nhân Viên Kế Toán Nội Bộ ( Công Nợ ) Thu Nhập Upto 12 Triệu/ Tháng - Yêu Cầu Từ 3 Năm Kinh Nghiệm Trở Lên,Công Ty TNHH A Sóc,Hà Nội,9 - 12 triệu
